
  | feature          | "Fonctionnalité"                                                                                                                                      |
  | background       | "Contexte"                                                                                                                                            |
  | scenario         | "Scénario"                                                                                                                                            |
  | scenario_outline | "Plan du scénario", "Plan du Scénario"                                                                                                                |
  | examples         | "Exemples"                                                                                                                                            |
  | given            | "* ", "Soit ", "Etant donné ", "Etant donnée ", "Etant donnés ", "Etant données ", "Étant donné ", "Étant donnée ", "Étant donnés ", "Étant données " |
  | when             | "* ", "Quand ", "Lorsque ", "Lorsqu'"                                                                                                                 |
  | then             | "* ", "Alors "                                                                                                                                        |
  | and              | "* ", "Et "                                                                                                                                           |
  | but              | "* ", "Mais "                                                                                                                                         |
  | given (code)     | "Soit", "Etantdonné", "Etantdonnée", "Etantdonnés", "Etantdonnées", "Étantdonné", "Étantdonnée", "Étantdonnés", "Étantdonnées"                        |
  | when (code)      | "Quand", "Lorsque", "Lorsqu"                                                                                                                          |
  | then (code)      | "Alors"                                                                                                                                               |
  | and (code)       | "Et"                                                                                                                                                  |
  | but (code)       | "Mais"                                                                                                                                                |
